sample	celltype
H08051428	Vip
H08051429	Vip
H08051430	Vip
H08051431	Sst
H08051432	L6b
H08051433	Vip
H08051434	Ndnf
H08051435	Sst
H08051436	Sst
H08051437	Sst
H08051438	Pvalb
H08051439	L5a
H08051440	Ndnf
H08051441	Vip
H08051442	Sst
H08051443	Sncg
H08051444	Sst
H08051445	Vip
H08051446	L6b
H08051447	Sst
H08051448	L6a
H11031401	L6b
H11031402	L6b
H11031403	L6b
H11031404	L6b
H11031405	L6b
H11031406	L6b
H11031407	Vip
H11031408	Vip
H11031409	Sst
H11031410	L6b
H11031411	L6b
H11031412	L6b
H11031417	L6b
H11031418	L6a
H11031419	L6a
H11031420	L6b
H11031421	Sncg
H11031422	L6b
H11031423	L6a
H11031424	Sncg
H11031425	L6b
H11031426	L6b
H11031427	Pvalb
H11031428	Sncg
H11031429	L6b
H11031430	L6b
H11031431	Sncg
H11031432	L6b
K01141501	Vip
K01141502	Sst
K01141503	L5a
K01141504	Sst
K01141505	Pvalb
K01141506	Sst
K01141508	Sst
K01141509	Vip
K01141510	Sst
K01141511	Ndnf
K01141512	Pvalb
K01141513	Sncg
K01141514	Pvalb
K06271401	Sst
K06271402	Sst
K06271403	Sst
K06271404	Sst
K06271405	L5a
K06271406	Sst
K06271407	Sst
K06271408	Sst
K06271409	L5a
K06271410	Sst
K06271411	L5a
K06271412	Pvalb
K06271413	Sst
K06271414	Sst
K06271415	Sst
K06271416	Sst
K06271417	Sst
K06271418	Sst
K06271420	Sst
K06271421	Sst
K06271422	Sst
K06271423	Sst
K06271424	Sst
K06271425	Sst
K06271426	L5a
K06271427	Sst
K06271428	Sst
K06271429	Sst
K06271430	Sst
K06271433	Pvalb
K06271434	Sst
K06271435	Sst
K06271437	Sst
K06271438	Sst
K06271439	Sst
K06271440	Sst
K06271441	Sst
K06271442	L5a
K06271443	Sst
K06271444	Sst
K06271445	Sst
K06271446	Sst
K06271447	Sst
K06271448	Sst
K08211415	L5a
K08211416	Sst
K08211417	Sst
K08211418	Vip
K08211419	Pvalb
K08211420	L5a
K10021401	Pvalb
K10021402	Pvalb
K10021403	Sst
K10021404	L5a
K10021405	L5a
K10021406	L5a
K10021407	Sst
K10021408	Vip
K10021409	L5a
K10021410	L5a
K10021411	L5a
K10021412	L6a
K10021413	Sst
K10021414	Sst
K10021415	Sst
K10021416	Sst
K10021417	Sst
K10021418	Vip
K10021419	L5a
K10021420	Sst
K10021421	Pvalb
M02121521	Sst
M02121522	Sst
M02121523	Sst
M02121524	Sst
M02121525	Sst
M02121526	Sst
M02121527	Sst
M02121528	Sst
M02121529	Sst
M02121530	Sst
M02121531	Sst
M02121532	Sst
M02121533	L2
M02121534	Sst
M02121535	Sst
M02121536	Glia
M02121537	Sst
M02121538	Sst
M02121539	Glia
M02121540	L2/3
M02131546	Sst
M02131547	Sst
M02131548	Sst
M02271401	Sst
M02271402	Sst
M02271404	Sst
M02271405	Sst
M02271406	Sst
M02271407	Sst
M02271408	Sst
M06111441	Sst
